time,value_R
50.72,36.40235350826758
50.73,36.37034254657971
50.74,36.33837206214486
50.75,36.30644203718841
50.76,36.27455245376507
50.77,36.24270329376
50.78,36.21089453888994
50.79,36.179126170704286
50.8,36.14739817058622
50.81,36.11571051975378
50.82,36.08406319926098
50.83,36.052456189998864
50.84,36.02088947269663
50.85,35.989363027922685
50.86,35.95787683608574
50.87,35.92643087743587
50.88,35.895025132065584
50.89,35.86365957991091
50.9,35.83233420075244
50.91,35.80104897421639
50.92,35.76980387977566
50.93,35.73859889675087
50.94,35.707434004311445
50.95,35.676309181476604
50.96,35.645224407116444
50.97,35.61417965995295
50.98,35.58317491856104
50.99,35.55221016136959
51.0,35.52128536666243
51.01,35.49040051257943
51.02,35.45955557711743
51.03,35.42875053813132
51.04,35.39798537333502
51.05,35.36726006030248
51.06,35.33657457646869
51.07,35.305928899130684
51.08,35.275323005448506
51.09,35.244756872446224
51.1,35.2142304770129
51.11,35.183743795903574
51.12,35.153296805740254
51.13,35.12288948301287
51.14,35.09252180408024
51.15,35.062193745171065
51.16,35.031905282384855
51.17,35.001656391692904
51.18,34.97144704893925
51.19,34.9412772298416
51.2,34.91114690999231
51.21,34.8810560648593
51.22,34.851004669786995
51.23,34.82099269999727
51.24,34.791020130590375
51.25,34.76108693654586
51.26,34.73119309272349
51.27,34.70133857386418
51.28,34.671523354590896
51.29,34.641747409409575
51.3,34.61201071271003
51.31,34.582313238766844
51.32,34.552654961740274
51.33,34.52303585567715
51.34,34.493455894511776
51.35,34.463915052066795
51.36,34.43441330205408
51.37,34.40495061807563
51.38,34.375526973624424
51.39,34.34614234208531
51.4,34.31679669673586
51.41,34.287490010747234
51.42,34.258222257185075
51.43,34.228993409010315
51.44,34.19980343908006
51.45,34.17065232014842
51.46,34.14154002486739
51.47,34.112466525787646
51.48,34.08343179535941
51.49,34.054435805933274
51.5,34.02547852976104
51.51,33.99655993899654
51.52,33.967680005696465
51.53,33.93883870182116
51.54,33.91003599923548
51.55,33.88127186970957
51.56,33.852546284919676
51.57,33.82385921644895
51.58,33.79521063578828
51.59,33.766600514337036
51.6,33.738028823403894
51.61,33.709495534207626
51.62,33.68100061787787
51.63,33.65254404545592
51.64,33.6241257878955
51.65,33.595745816063555
51.66,33.56740410074099
51.67,33.53910061262346
51.68,33.51083532232213
51.69,33.48260820036444
51.7,33.454419217194825
51.71,33.42626834317552
51.72,33.39815554858727
51.73,33.37008080363008
51.74,33.34204407842398
51.75,33.31404534300974
51.76,33.28608456734959
51.77,33.258161721327994
51.78,33.23027677475234
51.79,33.20242969735367
51.8,33.174620458787416
51.81,33.14684902863409
51.82,33.11911537640001
51.83,33.09141947151802
51.84,33.06376128334818
51.85,33.03614078117845
51.86,33.008557934225436
51.87,32.98101271163504
51.88,32.95350508248316
51.89,32.92603501577641
51.9,32.89860248045275
51.91,32.87120744538222
51.92,32.84384987936757
51.93,32.816529751144955
51.94,32.789247029384626
51.95,32.76200168269155
51.96,32.734793679606106
51.97,32.70762298860474
51.98,32.68048957810061
51.99,32.65339341644425
52.0,32.62633447192421
52.01,32.599312712767706
52.02,32.57232810714126
52.03,32.545380623151345
52.04,32.51847022884502
52.05,32.49159689221054
52.06,32.46476058117802
52.07,32.43796126362004
52.08,32.411198907352265
52.09,32.384473480134076
52.1,32.357784949669174
52.11,32.3311332836062
52.12,32.30451844953933
52.13,32.27794041500889
52.14,32.25139914750198
52.15,32.22489461445302
52.16,32.1984267832444
52.17,32.171995621207046
52.18,32.145601095621
52.19,32.11924317371602
52.2,32.092921822672174
52.21,32.06663700962039
52.22,32.04038870164306
52.23,32.01417686577459
52.24,31.988001469001983
52.25,31.96186247826541
52.26,31.93575986045876
52.27,31.909693582430208
52.28,31.883663610982772
52.29,31.85766991287486
52.3,31.83171245482084
52.31,31.805791203491555
52.32,31.779906125514906
52.33,31.75405718747636
52.34,31.728244355919507
52.35,31.7024675973466
52.36,31.676726878219068
52.37,31.651022164958057
52.38,31.62535342394496
52.39,31.599720621521936
52.4,31.57412372399242
52.41,31.548562697621666
52.42,31.523037508637227
52.43,31.497548123229492
52.44,31.472094507552193
52.45,31.446676627722894
52.46,31.42129444982351
52.47,31.395947939900793
52.48,31.370637063966843
52.49,31.345361787999586
52.5,31.320122077943278
52.51,31.294917899708985
52.52,31.269749219175065
52.53,31.244616002187662
52.54,31.21951821456118
52.55,31.194455822078748
52.56,31.16942879049271
52.57,31.144437085525087
52.58,31.119480672868047
52.59,31.09455951818437
52.6,31.069673587107907
52.61,31.044822845244045
52.62,31.02000725817016
52.63,30.99522679143607
52.64,30.970481410564492
52.65,30.945771081051483
52.66,30.921095768366893
52.67,30.8964554379548
52.68,30.87185005523396
52.69,30.847279585598233
52.7,30.82274399441703
52.71,30.798243247035742
52.72,30.773777308776157
52.73,30.749346144936904
52.74,30.724949720793873
52.75,30.70058800160063
52.76,30.67626095258884
52.77,30.651968538968692
52.78,30.627710725929294
52.79,30.603487478639103
52.8,30.579298762246324
52.81,30.555144541879322
52.82,30.531024782647016
52.83,30.50693944963929
52.84,30.48288850792739
52.85,30.45887192256432
52.86,30.434889658585227
52.87,30.410941681007802
52.88,30.38702795483267
52.89,30.36314844504377
52.9,30.33930311660874
52.91,30.3154919344793
52.92,30.291714863591633
52.93,30.267971868866756
52.94,30.244262915210896
52.95,30.22058796751587
52.96,30.196946990659434
52.97,30.173339949505678
52.98,30.149766808905365
52.99,30.126227533696312
53.0,30.102722088703736
53.01,30.07925043874062
53.02,30.055812548608063
53.03,30.032408383095643
53.04,30.00903790698175
53.05,29.985701085033956
53.06,29.96239788200934
53.07,29.93912826265485
53.08,29.91589219170763
53.09,29.892689633895372
53.1,29.86952055393664
53.11,29.846384916541215
53.12,29.823282686410426
53.13,29.800213828237478
53.14,29.777178306707782
53.15,29.754176086499278
53.16,29.731207132282766
53.17,29.70827140872222
53.18,29.68536888047511
53.19,29.662499512192724
53.2,29.63966326852048
53.21,29.616860114098234
53.22,29.5940900135606
53.23,29.57135293153726
53.24,29.548648832653257
53.25,29.52597768152932
53.26,29.503339442782153
53.27,29.480734081024735
53.28,29.45816156086663
53.29,29.43562184691427
53.3,29.413114903771266
53.31,29.390640696038684
53.32,29.368199188315348
53.33,29.34579034519812
53.34,29.323414131282203
53.35,29.301070511161395
53.36,29.278759449428406
53.37,29.25648091067512
53.38,29.234234859492872
53.39,29.212021260472742
53.4,29.189840078205812
53.41,29.16769127728345
53.42,29.145574822297572
53.43,29.123490677840927
53.44,29.101438808507346
53.45,29.07941917889202
53.46,29.057431753591764
53.47,29.035476497205273
53.48,29.013553374333387
53.49,28.991662349579347
53.5,28.96980338754905
53.51,28.947976452851304
53.52,28.92618151009809
53.53,28.904418523904805
53.54,28.88268745889051
53.55,28.860988279678175
53.56,28.83932095089494
53.57,28.817685437172347
53.58,28.79608170314658
53.59,28.774509713458716
53.6,28.752969432754956
53.61,28.731460825686863
53.62,28.709983856911602
53.63,28.68853849109217
53.64,28.66712469289763
53.65,28.64574242700334
53.66,28.624391658091188
53.67,28.603072350849807
53.68,28.58178446997481
53.69,28.560527980169013
53.7,28.539302846142654
53.71,28.518109032613616
53.72,28.496946504307648
53.73,28.475815225958574
53.74,28.45471516230852
53.75,28.433646278108128
53.76,28.412608538116753
53.77,28.391601907102693
53.78,28.370626349843384
53.79,28.349681831125622
53.8,28.328768315745762
53.81,28.30788576850992
53.82,28.287034154234178
53.83,28.266213437744792
53.84,28.245423583878388
53.85,28.22466455748216
53.86,28.20393632341407
53.87,28.18323884654304
53.88,28.162572091749155
53.89,28.141936023923847
53.9,28.121330607970087
53.91,28.100755808802585
53.92,28.080211591347965
53.93,28.059697920544966
53.94,28.039214761344617
53.95,28.018762078710427
53.96,27.998339837618566
53.97,27.97794800305805
53.98,27.957586540030913
53.99,27.937255413552403
54.0,27.916954588651137
54.01,27.896684030369297
54.02,27.87644370376279
54.03,27.85623357390143
54.04,27.836053605869115
54.05,27.815903764763977
54.06,27.79578401569858
54.07,27.775694323800064
54.08,27.755634654210326
54.09,27.73560497208618
54.1,27.71560524259952
54.11,27.69563543093749
54.12,27.67569550230264
54.13,27.65578542191309
54.14,27.635905155002682
54.15,27.616054666821146
54.16,27.59623392263425
54.17,27.576442887723967
54.18,27.556681527388616
54.19,27.536949806943017
54.2,27.517247691718655
54.21,27.497575147063817
54.22,27.477932138343743
54.23,27.458318630940784
54.24,27.438734590254537
54.25,27.419179981702
54.26,27.399654770717714
54.27,27.3801589227539
54.28,27.36069240328061
54.29,27.341255177785865
54.3,27.321847211775797
54.31,27.30246847077478
54.32,27.28311892032558
54.33,27.263798525989483
54.34,27.24450725334643
54.35,27.22524506799516
54.36,27.206011935553335
54.37,27.18680782165767
54.38,27.167632691964073
54.39,27.148486512147773
54.4,27.129369247903448
54.41,27.110280864945345
54.42,27.091221329007418
54.43,27.072190605843446
54.44,27.053188661227168
54.45,27.034215460952392
54.46,27.01527097083313
54.47,26.99635515670371
54.48,26.97746798441891
54.49,26.958609419854067
54.5,26.93977942890519
54.51,26.92097797748909
54.52,26.902205031543495
54.53,26.883460557027156
54.54,26.864744519919974
54.55,26.846056886223103
54.56,26.82739762195907
54.57,26.808766693171876
54.58,26.790164065927126
54.59,26.77158970631212
54.6,26.75304358043597
54.61,26.734525654429707
54.62,26.716035894446385
54.63,26.697574266661192
54.64,26.679140737271553
54.65,26.660735272497227
54.66,26.642357838580427
54.67,26.6240084017859
54.68,26.605686928401052
54.69,26.58739338473603
54.7,26.569127737123825
54.71,26.550889951920382
54.72,26.532679995504683
54.73,26.514497834278856
54.74,26.496343434668262
54.75,26.47821676312159
54.76,26.460117786110963
54.77,26.44204647013202
54.78,26.42400278170401
54.79,26.405986687369893
54.8,26.38799815369641
54.81,26.370037147274203
54.82,26.352103634717874
54.83,26.334197582666096
54.84,26.316318957781693
54.85,26.29846772675172
54.86,26.280643856287558
54.87,26.262847313124997
54.88,26.24507806402432
54.89,26.22733607577038
54.9,26.2096213151727
54.91,26.191933749065534
54.92,26.174273344307963
54.93,26.156640067783968
54.94,26.139033886402515
54.95,26.121454767097635
54.96,26.10390267682849
54.97,26.086377582579463
54.98,26.06887945136023
54.99,26.051408250205846
55.0,26.033963946176794
55.01,26.016546506359088
55.02,25.99915589786433
55.03,25.981792087829795
55.04,25.964455043418493
55.05,25.94714473181924
55.06,25.929861120246738
55.07,25.912604175941638
55.08,25.895373866170612
55.09,25.87817015822642
55.1,25.860993019427987
55.11,25.843842417120456
55.12,25.826718318675262
55.13,25.8096206914902
55.14,25.792549502989484
55.15,25.775504720623825
55.16,25.758486311870477
55.17,25.741494244233312
55.18,25.72452848524288
55.19,25.707589002456476
55.2,25.690675763458188
55.21,25.67378873585897
55.22,25.656927887296703
55.23,25.640093185436243
55.24,25.62328459796949
55.25,25.606502092615447
55.26,25.589745637120263
55.27,25.573015199257313
55.28,25.556310746827233
55.29,25.53963224765799
55.3,25.522979669604933
55.31,25.50635298055084
55.32,25.489752148405987
55.33,25.473177141108188
55.34,25.45662792662285
55.35,25.440104472943037
55.36,25.423606748089504
55.37,25.407134720110765
55.38,25.390688357083125
55.39,25.374267627110747
55.4,25.357872498325698
55.41,25.341502938887984
55.42,25.325158916985615
55.43,25.308840400834644
55.44,25.292547358679215
55.45,25.276279758791617
55.46,25.260037569472313
55.47,25.243820759050006
55.48,25.227629295881673
55.49,25.211463148352603
55.5,25.195322284876454
55.51,25.17920667389529
55.52,25.163116283879624
55.53,25.14705108332846
55.54,25.131011040769337
55.55,25.11499612475837
55.56,25.099006303880284
55.57,25.083041546748465
55.58,25.067101822004993
55.59,25.051187098320682
55.6,25.03529734439512
55.61,25.019432528956703
55.62,25.003592620762685
55.63,24.9877775885992
55.64,24.971987401281307
55.65,24.956222027653027
55.66,24.940481436587373
55.67,24.924765596986386
