evolving_asym,evolving_sym
70594.59020423745,67979.96951053996
70293.20394812892,67641.16573453194
69992.50949539983,67303.63182040407
69692.51974589413,66967.37745652779
69393.24719576788,66632.41185464854
69094.70394839416,66298.74376388472
68796.90172490162,65966.3814843307
68499.85187436265,65635.3328802753
68203.5653836461,65305.60539304605
67908.05288694863,64977.20605349016
67613.32467501843,64650.14149410196
67319.39070408409,64324.417960807004
67026.2606045008,64000.04132441246
66733.94368912582,63677.017091733134
66442.44896143395,63355.350416402376
66151.78512338374,63035.046109376715
65861.96058304448,62716.108649142974
65572.98346199344,62398.54219163623
65284.86160249246,62082.35057987692
64997.60257445253,61767.53735333499
64711.21368219458,61454.105757028985
64425.70197101431,61142.058750367476
64141.07423355845,60831.39901574032
63857.33701601965,60522.128966866796
63574.49662415667,60214.25075690765
63292.55912914628,59907.76628634765
63011.53037327308,59602.67721065544
62731.41597546307,59298.98494772683
62452.22133666649,58996.69068511784
62173.95164509531,58695.79538707359
61896.611881320365,58396.299801358655
61620.206823233086,58098.204465894836
61344.74105087634,57801.50971521166
61070.21895114888,57506.21568671508
