first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
80699.22276256101,80698.93494095252,80698.56704331702
58228.59343522201,58227.60536241924,58226.341916715515
,,
81630.97528330873,81630.92430426761,81630.85912648895
72181.03536770049,72181.0212280267,72181.00315018902
48275.825784634326,48275.80185884657,48275.77127037446
31592.81865510951,31592.80906246269,31592.796798198648
75549.44177348763,75549.42345537546,75549.40003548423
45461.97998546098,45461.971646654354,45461.96098510888
132930.33297010572,132929.97725215333,132929.52265829372
60740.10077767742,60740.08438701028,60740.06343099973
,,
44591.84184344923,44591.8320456905,44591.81951871243
,,
85203.25811945928,85203.23176576002,85203.19807358473
84251.104859823,84250.83129896235,84250.48149403842
,,
120825.1413941749,125533.62590169944,122342.86704109203
70194.1751575617,70193.9458267788,70193.65262392645
89818.73674702644,89818.6865619654,89818.62240388288
75865.09586367394,75865.08765771387,75865.07716577403
,,
,,
87333.28670124122,87333.27792541626,87333.2667049581
,,
116866.73147495216,116866.7087362748,116866.67966457197
,,
65215.45077746014,65215.40849613049,65215.35443861307
93602.93088396169,93602.90631106272,93602.87489376288
,,
50283.68164890968,50283.66661668794,50283.64739790482
63096.449405781954,63096.32842144832,63096.173746986926
44814.39768483469,44814.37200933837,44814.33918353297
,,
37734.39079122993,37734.372819889846,37734.349843793345
34764.159262702975,34764.15088248632,34764.140168235055
58426.90780583884,58426.89486065692,58426.878309658794
,,
72829.71321338306,72829.687506389,72829.6546395252
114065.4772726066,114065.46709856146,114065.45409051949
81276.93156516444,81276.9161065386,81276.89634228981
42542.03260355426,42542.01029484712,42541.981773582265
54526.00985048418,54526.00098759024,54525.98965598513
68641.4813138736,68641.46841802729,68641.45193020879
86919.27734729159,86919.2548297311,86919.22604131342
109625.89705115164,109625.7607405623,109625.58650277847
105387.93344379944,105387.92031732392,105387.903534754
52653.11418010612,52653.09133368953,52653.06212346378
66113.93476758762,66113.91621668811,66113.892499053
,,
132033.10278064036,123517.05107062114,105984.24152877802
58338.11033414552,58338.10315086867,58338.09396653104
,,
34904.59845034259,34904.587595860314,34904.573718163614
,,
137054.20393798067,105725.01561351134,97286.87072009251
,,
