D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
34066.917355996855,26360.407269947205,3425.2061722144244
33622.24752919507,26490.02376161601,3431.724657615316
33179.294063829206,26610.315538178056,3438.169734314691
32738.29694991277,26721.166868404416,3444.540431048252
32299.4810138236,26822.48029068036,3450.8357734512933
31863.056514232303,26914.176659759058,3457.054784293509
31429.21973029903,26996.195113532514,3463.1964837182227
30998.153540486805,27068.492962229277,3469.2598894860266
30570.02799058489,27131.04550296144,3475.244017222792
30145.00084975851,27183.845763006768,3481.1478806720256
29723.21815364276,27226.90417562169,3486.970491951535
29304.81473368095,27260.24819253633,3492.710861814366
28889.914732070847,27283.92183758109,3498.3679999139645
28478.632101829087,27297.98520613668,3503.940915073525
28071.07109161452,27302.513915285035,3509.4286155594705
27667.326715067367,27297.59850966943,3514.8301093590094
27267.485204523644,27283.343828149544,3520.1444044617165
26871.624449054507,27259.868336364103,3525.370509145075
26479.81441685925,27227.303430292777,3530.507432263913
26092.11756210935,27185.792715843683,3535.554183543667
25708.58921640029,27135.49126938702,3540.509773877402
25329.27796501902,27076.56488401284,3545.3732156265064
24954.22600827784,27009.189306115943,3550.1435229249873
24583.46950820248,26933.549466707896,3554.819711987278
24217.038920891788,26849.838711628763,3559.40080141947
23854.95931489173,26758.258034584745,3563.8858125338797
23497.25067594577,26659.015316675093,3568.2737696668514
23143.928198499507,26552.32457579784,3572.5637004996997
22795.002564348724,26438.405229041746,3576.7546363826846
22450.48020882832,26317.48137088553,3580.845612661914
22110.3635749446,26189.78106973784,3584.8356690090627
21774.65135585599,26055.53568506555,3588.7238497537933
21443.338726107333,25914.979207076805,3592.509204218759
21116.41756202128,25768.34762065046,3596.1907870570662
20793.876651646664,25615.878294938026,3599.7676585920744
20475.701894658872,25457.809399808943,3603.2388851594005
20161.87649260104,25294.37935006697,3606.6035394509954
19852.381129847647,25125.82627813544,3609.8607008611575
19547.19414566402,24952.38753569334,3613.009455834344
19246.29169772652,24774.29922454303,3616.048898214635
18949.647917458737,24591.79575680428,3618.9781295967045
18657.23505752944,24405.109444358823,3621.796259678152
18369.023631847616,24214.47011731421,3624.5024066130372
18084.98254838008,24020.104771115795,3627.095697366465
17805.079235106026,23822.23724181051,3629.575268070064
17529.279759413028,23621.087908855505,3631.9402643781905
17257.548941227833,23416.873424768164,3634.1898418247047
16989.85046016522,23209.80647083089,3636.32316618014
16726.14695696748,23000.095537993453,3638.339413809106
16466.400129496924,22787.944732057487,3640.2377720277477
16210.570823533655,22573.553602180324,3642.0174394610876
15958.619118620883,22357.1169916988,3643.6776264000787
15710.504409190353,22138.82491024655,3645.217555158183
15466.185481190923,21918.862426120195,3646.6364604273017
15225.620584434177,21697.40957783965,3647.9335896328676
14988.767500861812,21474.641303845165,3649.1082032879253
14755.583608930983,21250.727389277417,3650.159575346004
14526.025944305213,21025.832428796675,3651.0869935526025
14300.051257030364,20800.11580441184,3651.8897597950927
14077.61606536729,20573.731677309497,3652.5671904508595
13858.67670644509,20346.828992696344,3653.118616733478
13643.189383891642,20119.55149669473,3653.5433850367426
13431.110212590973,19892.037764360542,3653.840857276351
13222.395260710233,19664.42123792393,3654.0104112290583
13017.00058913254,19436.830274387,3654.051440869096
12814.88228842566,19209.388201647093,3653.9633567016745
12615.99651347049,18982.21338235025,3653.7455860933646
12420.299515867557,18755.419284715736,3653.3975735991753
12227.747674234184,18529.114559609345,3652.9187812861223
12038.297522499775,18303.403123180196,3652.308689053106
11851.905776301455,18078.384244412264,3651.5667949468952
11668.529357577618,17854.152636978506,3650.6926154740354
11488.125417452236,17630.798554821075,3649.6856859084787
11310.651357498342,17408.407890916376,3648.545560594757
11136.064849464889,17187.062278718,3647.2718132464984
