evolving_asym_D=0.4,evolving_sym_D=0.4
11502.08735620178,11196.098972750655
11444.400442731185,11156.299832016717
11387.549419970415,11117.255377796326
11331.525554272866,11078.95929256533
11276.32024004132,11041.405377994315
11221.924998511737,11004.58755399519
11168.331476549174,10968.49985778313
11115.531445455896,10933.136442953875
11063.516799791823,10898.491578576422
11012.279556207375,10864.559648301098
10961.811852288827,10831.335149483064
10912.105945416257,10798.812692321231
10863.15421163417,10766.98699901261
10814.949144534869,10735.8529029221
10767.483354154663,10705.405347767726
10720.749565882978,10675.639386821296
10674.740619384427,10646.550182124523
10629.449467533932,10618.133003720573
10584.869175364927,10590.383228901037
10540.99291903073,10563.296341468329
10497.813984779114,10536.867931013492
10455.325767940143,10511.093692209395
10413.521771927344,10485.969424119303
10372.395607252189,10461.491029520805
10331.940990552035,10437.654514245072
10292.15174363148,10414.455986531426
10253.02179251721,10391.891656397176
10214.545166526364,10369.957835022713
10176.71599734848,10348.650934151803
10139.528518140998,10327.967465507065
10102.977062638412,10307.90404022057
10067.056064275055,10288.457368279536
10031.760055321578,10269.624257987058
9997.083666035114,10251.401615437824
9963.021623823188,10233.786444008778
9929.56875242136,10216.775843864645
9896.719971084647,10200.367011478276
9864.470293792749,10184.557239165739
9832.814828469029,10169.343914636087
9801.748776213391,10154.724520555736
9771.26743054895,10140.696634127353
9741.36617668256,10127.2579266832
9712.040490779216,10114.406163292824
9683.285939250349,10102.139202385008
9655.098178055983,10090.454995383885
9627.472952020828,10079.351586359116
9600.406094164236,10068.827111690014
9573.893525044135,10058.879799743505
9547.93125211485,10049.507970565814
9522.51536909886,10040.71003558773
9497.64205537253,10032.484497343343
9473.307575365749,10024.829949202081
9449.508277975558,10017.745075113944
9426.240595993711,10011.228649367733
9403.501045548228,10005.279536362152
9381.286225558872,9999.896690389596
9359.592817206658,9995.079155432448
9338.417583417278,9990.826064971703
9317.757368358556,9987.136641807723
9297.60909695185,9984.010197892923
9277.969774397458,9981.446134176163
9258.836485714,9979.443940458641
9240.2063952918,9978.003195261028
9222.07674646025,9977.123565701624
9204.444861069176,9976.804807385268
9187.308139084187,9977.046764302719
9170.66405819604,9977.84936874026
9154.510173443969,9979.212641199201
9138.844116853044,9981.136690324978
9123.663597085528,9983.621712845546
9108.966399106192,9986.667993518715
9094.75038386168,9990.275905088063
