D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w
4168.2169156292775,4166.322488512797,4160.992136609126,4156.067348042065,4153.303761959426,4152.647379703574,4153.499622710989,4155.28358708916,4157.585495884912,4160.1426587687865
4158.850406973009,4156.987730797847,4151.794925740967,4147.083258898556,4144.554842631443,4144.122154721813,4145.17276717142,4147.127163288087,4149.573796385781,4152.253639742574
4149.158303630881,4147.327170865729,4142.270577314122,4137.769230018219,4135.4720915763,4135.258663083742,4136.503100854408,4138.623540373412,4141.2107966110825,4144.009554059778
4139.151496823865,4137.351693695725,4132.42995876958,4128.136116770185,4126.066368326828,4126.0677860834685,4127.501540880712,4129.783680622158,4132.507509176077,4135.421466812275
4128.840672053073,4127.071979112863,4122.283734664994,4118.194575037665,4116.34833664523,4116.560212768032,4118.178815221952,4120.618359772459,4123.4747623042085,4126.5002604423435
4118.236307391723,4116.498500052034,4111.842364815556,4107.955059155284,4106.328462214428,4106.746437369661,4108.545459878716,4111.138163962035,4114.12319654469,4117.25663125925
4107.348672252694,4105.6415212984375,4101.116102915158,4097.427820334136,4096.017010826921,4096.636757246629,4098.611816578823,4101.353487198328,4104.463262032897,4107.701086509248
4096.187826599269,4094.5110986720106,4090.114995605566,4086.622905542285,4085.424047038864,4086.241271300311,4088.388030963191,4091.274529327557,4094.505216260594,4097.843941965774
4084.763620567937,4083.117078624708,4078.8488819625272,4075.550156809652,4074.559433258213,4075.569878837148,4077.8840512278143,4080.911294470963,4084.2591223240206,4087.6953200076186
4073.0856944734014,4071.4690982208185,4067.3273933690007,4064.2192109274224,4063.432829236977,4064.6322788453735,4067.109627191491,4070.273589897632,4073.734847618967,4077.2651481539183
4061.1634791672327,4059.576585471755,4055.559953746963,4052.639499513376,4052.0536919388114,4053.437969657545,4056.074309760088,4059.371025304413,4062.942062953056,4066.563158025898
4049.006196722891,4047.448759998052,4043.5557801205,4040.820249415743,4040.431275754416,4041.996248971097,4044.787450759289,4048.2130124745872,4051.890242046591,4055.5988847064064
4036.6228614211177,4035.094633992574,4031.32388348416,4028.7704834294673,4028.574633038395,4030.31621420033,4033.2582031089696,4036.808765288105,4040.588661394456,4044.381666469432
4024.022281010956,4022.5230134601934,4018.873069951778,4016.499021299941,4016.4926149424527,4018.406763134455,4021.495521313472,4025.1673000573664,4029.046400462736,4032.9206448529226
4011.213058222917,4009.742499710456,4006.211942162225,4004.014480990519,4004.1938725210034,4006.276594877442,4009.5081622432754,4013.2974361636943,4017.272342194864,4021.224765049398
3998.2035925120094,3996.761491080917,3993.348900919727,3991.325280191297,3991.68685808643,3993.934211046683,3997.304686184684,4001.207796970789,4005.2751738032384,4009.3027765899697
3985.002082009568,3983.5881848701233,3980.292147047588,3978.4396380478233,3978.979826792413,3981.38791720852,3984.8934581353074,3988.9068109926034,3993.063387823429,3997.163234298546
3971.616525663946,3970.230579460242,3967.049683435308,3965.365577089533,3966.080838424864,3968.645824529917,3972.282649324237,3976.4027132942056,3980.645283409173,3984.8144994940967
3958.054725551309,3956.696476610584,3953.629317260199,3952.110925338836,3952.997759381121,3955.7158516265786,3959.480238936928,3963.703547105271,3968.028967847494,3972.264741419985
3944.3242893388096,3942.993483904296,3940.038662365688,3938.683318582842,3939.738264819132,3942.605726588967,3946.494016025849,3950.817165626967,3955.222358274348,3959.521938880437
3930.432632883539,3929.129017331563,3926.2851417795646,3925.0902027907855,3926.3098409593954,3929.322989168643,3933.331581589058,3937.751234014004,3942.233183572249,3946.5938820652946
3916.386982951612,3915.110303993704,3912.375990356423,3911.338836661196,3912.719787523455,3915.874993108423,3920.000350799809,3924.513231514669,3929.068986432369,3933.4881745452167
