time,value_D
7.1,0.5749807854507059
7.11,0.5755306774641382
7.12,0.5760861282417536
7.13,0.5766470817746282
7.14,0.577213482469896
7.15,0.5777852751419104
7.16,0.5783624050036473
7.17,0.5789448176583452
7.18,0.5795324590913757
7.19,0.580125275662343
7.2,0.5807232140974026
7.21,0.5813262214817995
7.22,0.581934245252617
7.23,0.5825472331917353
7.24,0.5831651334189917
7.25,0.5837878943855415
7.26,0.5844154648674128
7.27,0.5850477939592527
7.28,0.5856848310682593
7.29,0.586326525908297
7.3,0.5869728284941899
7.31,0.5876236891361898
7.32,0.5882790584346158
7.33,0.5889388872746607
7.34,0.5896031268213604
7.35,0.5902717285147244
7.36,0.5909446440650219
7.37,0.5916218254482211
7.38,0.5923032249015782
7.39,0.592988794919373
7.4,0.5936784882487867
7.41,0.5943722578859206
7.42,0.5950700570719508
7.43,0.5957718392894166
7.44,0.5964775582586398
7.45,0.5971871679342716
7.46,0.597900622501964
7.47,0.598617876375163
7.48,0.5993388841920216
7.49,0.6000636008124283
7.5,0.600791981315149
7.51,0.6015239809950812
7.52,0.602259555360615
7.53,0.6029986601311009
7.54,0.6037412512344199
7.55,0.6044872848046555
7.56,0.605236717179863
7.57,0.6059895048999355
7.58,0.6067456047045627
7.59,0.607504973531282
7.6,0.6082675685136175
7.61,0.609033346979307
7.62,0.6098022664486121
7.63,0.6105742846327125
7.64,0.6113493594321789
7.65,0.6121274489355258
7.66,0.612908511417839
7.67,0.6136925053394782
7.68,0.6144793893448519
7.69,0.6152691222612623
7.7,0.6160616630978181
7.71,0.6168569710444151
7.72,0.61765500547078
7.73,0.6184557259255785
7.74,0.6192590921355832
7.75,0.6200650640049016
7.76,0.6208736016142616
7.77,0.6216846652203529
7.78,0.6224982152552225
7.79,0.623314212325723
7.8,0.6241326172130119
7.81,0.6249533908721007
7.82,0.6257764944314509
7.83,0.626601889192618
7.84,0.6274295366299385
7.85,0.6282593983902622
7.86,0.6290914362927249
7.87,0.6299256123285627
7.88,0.6307618886609649
7.89,0.6316002276249653
7.9,0.6324405917273687
7.91,0.6332829436467143
7.92,0.6341272462332718
7.93,0.6349734625090697
7.94,0.6358215556679561
7.95,0.6366714890756884
7.96,0.637523226270053
7.97,0.6383767309610113
7.98,0.6392319670308737
7.99,0.6400888985344976
8.0,0.6409474896995107
8.01,0.6418077049265567
8.02,0.6426695087895636
8.03,0.6435328660360328
8.04,0.6443977415873474
8.05,0.6452641005391013
8.06,0.6461319081614441
8.07,0.6470011298994441
8.08,0.6478717313734678
8.09,0.6487436783795726
8.1,0.6496169368899156
8.11,0.6504914730531743
8.12,0.6513672531949805
8.13,0.6522442438183643
8.14,0.6531224116042108
8.15,0.6540017234117244
8.16,0.6548821462789031
8.17,0.6557636474230212
8.18,0.6566461942411185
8.19,0.6575297543104965
8.2,0.6584142953892209
8.21,0.659299785416628
8.22,0.6601861925138366
8.23,0.661073484984263
8.24,0.661961631314139
8.25,0.6628506001730325
8.26,0.6637403604143696
8.27,0.6646308810759568
8.28,0.6655221313805056
8.29,0.666414080736155
8.3,0.6673066987369939
8.31,0.6681999551635818
8.32,0.6690938199834683
8.33,0.6699882633517089
8.34,0.6708832556113788
8.35,0.6717787672940823
8.36,0.6726747691204583
8.37,0.6735712320006817
8.38,0.6744681270349588
8.39,0.6753654255140181
8.4,0.676263098919594
8.41,0.6771611189249052
8.42,0.6780594573951251
8.43,0.6789580863878457
8.44,0.6798569781535335
8.45,0.6807561051359767
8.46,0.6816554399727249
8.47,0.6825549554955194
8.48,0.6834546247307137
8.49,0.6843544208996859
8.5,0.6852543174192395
8.51,0.6861542879019951
8.52,0.6870543061567708
8.53,0.6879543461889525
8.54,0.6888543822008523
8.55,0.689754388592056
8.56,0.6906543399597587
8.57,0.6915542110990881
8.58,0.6924539770034165
8.59,0.693353612864659
8.6,0.6942530940735606
8.61,0.695152396219969
8.62,0.6960514950930954
8.63,0.6969503666817607
8.64,0.69784898717463
8.65,0.6987473329604317
8.66,0.6996453806281638
8.67,0.700543106967286
8.68,0.7014404889678971
8.69,0.7023375038208993
8.7,0.7032341289181465
8.71,0.7041303418525794
8.72,0.7050261204183452
8.73,0.705921442610903
8.74,0.7068162866271133
8.75,0.7077106308653143
8.76,0.7086044539253812
8.77,0.7094977346087717
8.78,0.710390451918556
8.79,0.7112825850594308
8.8,0.712174113437719
8.81,0.7130650166613535
8.82,0.7139552745398458
8.83,0.7148448670842386
8.84,0.7157337745070438
8.85,0.7166219772221644
8.86,0.7175094558448009
8.87,0.7183961911913425
8.88,0.7192821642792426
8.89,0.720167356326879
8.9,0.7210517487533977
8.91,0.7219353231785428
8.92,0.7228180614224695
8.93,0.7236999455055426
8.94,0.7245809576481188
8.95,0.7254610802703145
8.96,0.7263402959917576
8.97,0.7272185876313245
8.98,0.7280959382068616
8.99,0.7289723309348917
9.0,0.7298477492303055
9.01,0.7307221767060379
9.02,0.7315955971727294
9.03,0.7324679946383726
9.04,0.7333393533079444
9.05,0.7342096575830225
9.06,0.7350788920613881
9.07,0.7359470415366143
9.08,0.7368140909976391
9.09,0.7376800256283251
9.1,0.7385448308070046
9.11,0.7394084921060102
9.12,0.7402709952911924
9.13,0.7411323263214226
9.14,0.7419924713480821
9.15,0.7428514167145389
9.16,0.7437091489556094
9.17,0.7445656547970073
9.18,0.7454209211547802
9.19,0.7462749351347314
9.2,0.7471276840318303
9.21,0.747979155329609
9.22,0.7488293366995471
9.23,0.749678216000443
9.24,0.7505257812777735
9.25,0.7513720207630408
9.26,0.7522169228731082
9.27,0.7530604762095227
9.28,0.7539026695578267
9.29,0.7547434918868581
9.3,0.7555829323480381
9.31,0.756420980274649
9.32,0.7572576251810997
9.33,0.7580928567621812
9.34,0.7589266648923104
9.35,0.7597590396247641
9.36,0.760589971190902
9.37,0.7614194499993796
9.38,0.7622474666353511
9.39,0.7630740118596624
9.4,0.7638990766080335
9.41,0.7647226519902327
9.42,0.7655447292892402
9.43,0.7663652999604033
9.44,0.7671843556305813
9.45,0.7680018880972834
9.46,0.7688178893277959
9.47,0.7696323514583021
9.48,0.7704452667929934
9.49,0.7712566278031724
9.5,0.7720664271263475
9.51,0.7728746575653206
9.52,0.7736813120872659
9.53,0.7744863838228021
9.54,0.7752898660650575
9.55,0.7760917522687267
9.56,0.7768920360491222
9.57,0.777690711181217
9.58,0.7784877715986831
9.59,0.7792832113929214
9.6,0.7800770248120867
9.61,0.780869206260106
9.62,0.7816597502956911
9.63,0.7824486516313459
9.64,0.7832359051323672
9.65,0.7840215058158411
9.66,0.7848054488496338
9.67,0.7855877295513772
9.68,0.7863683433874503
9.69,0.7871472859719549
9.7,0.7879245530656879
9.71,0.7887001405751085
9.72,0.7894740445513018
9.73,0.7902462611889379
9.74,0.7910167868252277
9.75,0.7917856179388743
9.76,0.7925527511490217
9.77,0.7933181832142001
9.78,0.7940819110312674
9.79,0.7948439316343481
9.8,0.7956042421937698
9.81,0.7963628400149961
9.82,0.797119722537558
9.83,0.7978748873339819
9.84,0.7986283321087164
9.85,0.7993800546970564
9.86,0.8001300530640656
9.87,0.800878325303497
9.88,0.8016248696367123
9.89,0.8023696844115994
9.9,0.8031127681014888
9.91,0.8038541193040688
9.92,0.8045937367403001
9.93,0.8053316192533289
9.94,0.8060677658073996
9.95,0.8068021754867674
9.96,0.8075348474946096
9.97,0.8082657811519375
9.98,0.8089949758965076
9.99,0.8097224312817329
10.0,0.8104481469755945
10.01,0.8111721227595533
10.02,0.8118943585274622
10.03,0.8126148542844789
10.04,0.8133336101459792
10.05,0.814050626336471
10.06,0.8147659031885096
10.07,0.8154794411416139
10.08,0.8161912407411831
10.09,0.8169013026374159
10.1,0.8176096275842301
10.11,0.8183162164381841
10.12,0.8190210701574
10.13,0.8197241898004884
10.14,0.8204255765254754
10.15,0.8211252315887307
10.16,0.8218231563438989
10.17,0.8225193522408322
10.18,0.8232138208245257
10.19,0.8239065637340548
10.2,0.8245975827015158
10.21,0.8252868795509684
10.22,0.8259744561973807
10.23,0.8266603146455785
10.24,0.8273444569891955
10.25,0.8280268854096277
10.26,0.8287076021749908
10.27,0.8293866096390808
10.28,0.8300639102403371
10.29,0.8307395065008096
10.3,0.83141340102513
10.31,0.8320855964994844
10.32,0.8327560956905925
10.33,0.8334249014446876
10.34,0.8340920166865022
10.35,0.8347574444182573
10.36,0.8354211877186543
10.37,0.8360832497418728
10.38,0.836743633716571
10.39,0.8374023429448912
10.4,0.8380593808014687
10.41,0.8387147507324455
10.42,0.8393684562544885
10.43,0.8400205009538118
10.44,0.840670888485203
10.45,0.8413196225710557
10.46,0.8419667070004049
10.47,0.8426121456279675
10.48,0.8432559423731882
10.49,0.8438981012192898
10.5,0.8445386262123276
10.51,0.8451775214602502
10.52,0.845814791131964
10.53,0.8464504394564032
10.54,0.847084470721605
10.55,0.8477168892737892
10.56,0.8483476995164441
10.57,0.8489769059094163
10.58,0.8496045129680071
10.59,0.8502305252620727
10.6,0.850854947415131
10.61,0.8514777841034733
10.62,0.8520990400552808
10.63,0.8527187200497477
10.64,0.8533368289162089
10.65,0.8539533715332736
10.66,0.8545683528279641
10.67,0.8551817777748607
10.68,0.8557936513952519
10.69,0.8564039787562898
10.7,0.8570127649701524
10.71,0.8576200151932103
10.72,0.8582257346251995
10.73,0.8588299285084007
10.74,0.8594326021268233
10.75,0.8600337608053956
10.76,0.8606334099091615
10.77,0.8612315548424816
10.78,0.8618282010482415
10.79,0.8624233540070653
10.8,0.8630170192365348
10.81,0.8636092022904157
10.82,0.8641999087578882
10.83,0.8647891442627847
10.84,0.865376914462833
10.85,0.8659632250489053
10.86,0.8665480817442737
10.87,0.8671314903038709
10.88,0.8677134565135579
10.89,0.8682939861893967
10.9,0.8688730851769296
10.91,0.8694507593504645
10.92,0.8700270146123656
10.93,0.8706018568923514
10.94,0.871175292146797
10.95,0.8717473263580441
10.96,0.8723179655337157
