D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w,D=1.0 mm/w
76822.74213603257,74925.17211430865,68432.1954142339,62639.073176417376,58482.194947976575,55367.03904722303,52903.98795180016,50904.74336678704,49264.53567414069,47912.36215669608,46794.44165211871
76457.07560490095,74548.02254979782,68069.51296876057,62304.18670403174,58167.55997509641,55066.070388600914,52613.44243948649,50623.02090656584,48990.61698725141,47645.41606561657,46533.716410360576
76092.23128955433,74172.055670472,67708.43094056235,61970.93436951628,57854.52575774648,54766.69763870271,52324.50448042457,50342.91693885778,48718.32039880625,47380.087967190855,46274.599069466785
75728.2367619771,73797.29168122346,67348.95527429169,61639.31618974104,57543.0904163173,54468.91772231272,52037.16980982816,50064.42608024216,48447.63958366928,47116.37080246485,46017.082026777505
75365.11860062424,73423.74995086966,66991.09147096399,61309.331945294216,57233.2519099036,54172.72743646233,51751.43406076263,49787.54286928712,48178.56816079685,46854.25747561341,45761.15765844205
75002.90241876645,73051.44903714904,66634.844602166,60980.98118813734,56925.00804140503,53878.12345456525,51467.2927677536,49512.26176971053,47911.09969596708,46593.74085626784,45506.81832139133
74641.61289206751,72680.40671099776,66280.21932383343,60654.26324903493,56618.35646248798,53585.102330445145,51184.74137030052,49238.57717345413,47645.22770443031,46334.81378177252,45254.05635524703
74281.27378541206,72310.63998012674,65927.21988961079,60329.17724476565,56313.29467841219,53293.66050225842,50903.77521629782,48966.48340367319,47380.94565348286,46077.4690593726,45002.86408416941
73921.90797900181,71942.16511191815,65575.85016380648,60005.72208512144,56009.82005272605,53003.7942963149,50624.38956536584,48695.97471764391,47118.24696496619,45821.69946833472,44753.23381864555
73563.53749373801,71574.99765566009,65226.11363395521,59683.89647970104,55707.92981183419,52715.499930799015,50346.579592093934,48427.04530959072,46857.12501769333,45567.49776200272,44505.157857219776
73206.18351590754,71209.15246413769,64878.01342299987,59363.69894450405,55407.6210494409,52428.77351939402,50070.340389197925,48159.689313435614,46597.573149804775,45314.85666979015,44258.62848816793
72849.86642119016,70844.64371459851,64531.55230110449,59045.12780833164,55108.89073087282,52143.61107481192,49795.66697059413,47893.90080547141,46339.5846610556,45063.768899111295,44013.63799111721
72494.6057980036,70481.48492910965,64186.73269710949,58728.18121899958,54811.73569728425,51860.008512231296,49522.55427439202,47629.67380696115,46083.152815035806,44814.227137252645,43770.17863861315
72140.42047020349,70119.68899432367,63843.55670964027,58412.8571493693,54516.15266974837,51577.96165264557,49250.99716580778,47367.00228666546,45828.27084132559,44566.22405318629,43528.24269763523
71787.32851915446,69759.26818067,63502.02611787965,58099.153403202414,54222.13825323743,51297.46622612405,48980.990440000445,47105.880163299706,45574.931937587455,44319.75229932711,43287.82243106276
71435.3473051885,69400.23416098785,63162.14239201454,57787.06762084403,53929.68894049506,51018.51787498781,48712.52882483298,46846.30130792291,45323.12927159679,44074.80451323513,43048.91009909241
71084.49348846657,69042.59802861676,62823.906703366665,57476.5972847399,53638.80111580368,50741.11215690284,48445.60698355994,46588.25954626017,45072.8559832126,43831.37331926486,42811.497960608816
70734.7830492589,68686.37031495995,62487.31993421722,57167.73972479248,53349.471058649775,50465.24454789242,48180.21951744369,46331.74866096025,44824.10518629013,43589.45133016281,42575.578274509644
70386.23130765927,68331.56100653569,62152.38268733463,56860.49212356056,53061.69494729004,50190.910445270885,47916.36096830102,46076.76239379024,44576.869970536834,43349.03114861501,42341.143300986536
70038.85294274823,67978.17956153129,61819.0952952146,56554.85152130734,52775.46886222094,49918.10517050077,47654.02582098189,45823.29444776872,44331.14340331333,43110.10536874565,42108.185302763115
69692.66201121983,67626.23492587394,61487.45782904132,56250.81482090127,52490.78878955449,49646.82397197535,47393.20850578209,45571.338489239184,44086.918531380805,42872.66657756843,41876.69654629138
69347.6719654862,67275.73554883238,61157.47010737819,55948.37879257415,52207.65062430267,49377.06202772842,47133.90340079143,45320.88814988528,43844.18838259642,42636.70735639191,41646.669302907736
69003.89567127403,66926.68939816293,60829.13170459649,55647.54007854069,51926.05017357313,49108.81444807328,46876.10483417924,45071.93702868932,43602.94596755797,42402.22028218009,41418.0958499498
68661.34542472662,66579.10397481303,60502.44195904996,55348.29519748372,51645.98315967853,48842.076278172666,46619.80708641857,44824.47869383566,43363.18428119937,42169.197928869646,41190.968471835185
68320.03296902479,66232.98632719515,60177.39998100305,55050.64054890892,51367.44522316187,48576.84250054143,46365.00439245091,44578.50668456036,43124.896304338254,41937.63286864493,40965.279461103324
67979.96951053996,65888.34306504345,59854.00466032038,54754.57241737304,51090.43192574015,48313.108037483726,46111.69094379272,44334.014512948444,42888.07500517691,41707.51767317204,40741.021119421515
