"H_i=0.0, C_i=4.0, M_i=400.0, N_i=100.0, D_i=0.0, R_i=0.0","H_i=200.0, C_i=10.0, M_i=5000.0, N_i=59.0, D_i=1.0, R_i=40.0"
11372.790571432066,57525.42997396673
11595.576696927474,57742.66422961291
11823.878524885133,57955.47847418014
12057.848305103487,58163.8505160562
12297.641944427594,58367.760460566016
12543.419018486684,58567.190688374074
12795.342775359246,58762.12583164724
13053.580130365666,58952.55274807604
13318.301651143302,59138.460492854036
13589.681532113458,59319.84028871642
13867.897557404644,59496.68549414023
14153.13105125185,59668.99156980908
14445.566814848164,59836.75604344604
14745.393048583046,59999.97847311829
15052.801258561878,60158.66040911706
15367.98614626436,60312.80535451604
15691.145480165893,60462.41872451053
16022.479948116834,60607.50780463896
16362.192989250416,60748.08170798688
16710.49060417196,60884.15133147236
17067.58114217086,61015.72931131
17433.675064193616,61142.82997774888
17808.984680321933,61265.4693091779
18193.723860515976,61383.66488568964
18588.107717410003,61497.43584219168
18992.35225998729,61606.802821151665
19406.67401701463,61711.78792506013
19831.28962918459,61812.414668692036
20266.415408997884,61908.70793124544
20712.266867518996,62000.693908432826
21169.058207257214,62088.40006459761
21637.00178056324,62171.85508492534
22116.307513088723,62251.08882781623
22607.1822920344,62326.13227748255
23109.829319110715,62397.01749683115
23624.44742835444,62463.7775806886
24151.230369185287,62526.44660942321
24690.36605534724,62585.05960301511
25242.035780660262,62639.65247562249
25806.41340280769,62690.261990689374
26383.664496701545,62736.925716636855
26973.945479301256,62779.68198317721
27577.40270810728,62818.569838287214
28194.171555908808,62853.629005874216
28824.375464729997,62884.8998441657
29468.12498228921,62912.42330485051
30125.516784656746,62936.24089299714
30796.632689164035,62956.39462777199
31481.538661977647,62972.927003978075
32180.28382509897,62985.8809544322
32892.899467881485,62995.29981319631
33619.39806846614,63001.22727967658
34359.77233081709,63003.707383601555
35113.994243290035,63002.784450888656
35882.014164878216,62998.50307040647
36663.75994545316,62990.90806163823
37459.13608644335,62980.04444325013
38268.02294847069,62965.95740256658
39090.276012488896,62948.692265952624
39925.72520093584,62928.294470102475
40774.17426532303,62904.80953423148
41635.40024653585,62878.28303316758
42509.15301390987,62848.760571337065
43395.15488887837,62816.287757638085
44293.10035865783,62780.910181194464
45202.65588504989,62742.67338798119
46123.45981299467,62701.62285831199
47055.12238301239,62657.803985178616
47997.225851121686,62611.262053430495
48949.324719228265,62562.04221978279
49910.94607834001,62510.18949364012
50881.59006628963,62455.74871872267
51860.73044093874,62398.76455548073
52847.8152691033,62339.28146428333
53842.26773068507,62277.34368936615
54843.48703672421,62212.9952435234
55850.84945930992,62146.27989352826
56863.709470505615,62077.24114626583
57881.40098667028,62005.92223556263
58903.23871379354,61932.3661096964
59928.51958871731,61856.615419569505
60956.52431039703,61778.712507529715
61986.51895466859,61698.6993968214
63017.75666533952,61616.617781650624
64049.47941382146,61532.5090178474
65080.91981897246,61446.414114108346
66111.30301832802,61358.373723803204
67139.84858147531,61268.42813732858
68165.77245597058,61176.617274992444
69188.2889359208,61082.980680413115
70206.61264315026,60987.55751441642
71219.96051075528,60890.38654941512
72227.55375881701,60791.506164254635
73228.6198520951,60690.954339509524
74222.39442966341,60588.76865321518
75208.12319667375,60484.986277019576
76185.0637687397,60379.64397274017
77152.4874598205,60272.77808931107
78109.68100494733,60164.42456010621
79055.94820966724,60054.61890062415
79990.61151867794,59943.39620652079
80913.01349678023,59830.79115197619
81822.51821597913,59716.837988382285
82718.51254330862,59601.570543338355
83600.40732473186,59485.02221994161
84467.63846126759,59367.225996360336
85319.667874307,59248.214425677535
86155.98435790249,59128.01963599316
86976.10431662323,59006.673330773425
87779.5723883722,58884.206789436
88565.96195233848,58760.65086816006
89334.87552300865,58636.03600091066
90085.94503187537,58510.39220066704
90818.83199915403,58383.74906084485
91533.22759844408,58256.13575690257
92228.85261784548,58127.58104812264
92905.4573215604,57998.11327955822
93562.82121647116,57867.7603841366
94200.75272858868,57736.549884910804
94819.08879460664,57604.508897450985
95417.69437407926,57471.66413236762
95996.46188796208,57338.04189795873
96555.31058941926,57203.66810297357
97094.18587290889,57068.56825948569
97613.058527611,56932.76748586824
98111.92394126726,56796.29050986478
98590.8012604564,56659.161671749294
99049.73251324293,56521.40492756883
99488.78170000832,56383.04385246307
99908.0338581129,56244.10164405485
100307.59410584056,56104.601125906025
100687.58667085918,55964.56475103353
101048.15390818442,55824.01460548027
101389.45531237168,55682.972411935996
101711.66652838286,55541.459533403504
102014.97836528518,55399.49697690545
102299.59581664212,55257.10539722759
102565.7370911547,55114.30510069416
102813.63265680824,54971.11604897148
103043.52430147788,54827.55786289595
103255.66421264822,54683.649826322755
103450.31407861006,54539.41088999184
103627.7442132135,54394.85967540784
103788.2327059818,54250.0144787307
103932.064599127,54104.89327467411
104059.53109275678,53959.513720408744
104170.92877932385,53813.89315946763
104266.55890814404,53668.048625651034
104346.72668059944,53521.99684692837
104411.74057644593,53375.7542493348
104461.91171146432,53229.33696086028
104497.5532265263,53082.760815328955
104518.97970799476,52936.041356266884
104526.50663923948,52789.1938407562
104520.4498829249,52642.233243273964
104501.12519361528,52495.17425951396
104468.84776014404,52348.03131018989
104423.93177710864,52200.81854481844
104366.69004477657,52053.54984548085
104297.43359662515,51906.23883056161
104216.47135368436,51758.89885846312
104124.10980480693,51611.54303129508
104020.65271195654,51464.18419853754
103906.40083957648,51316.834960676744
103781.65170708272,51169.50767281253
103646.69936351228,51022.21444823676
103501.8341833521,50874.96716198173
103347.34268257156,50727.77745433793
103183.50735388797,50580.65673434039
103010.60652030104,50433.61618322312
102828.91420594696,50286.66675784093
102638.70002333676,50139.81919405815
102440.229076065,49993.08401010386
102233.76187609402,49846.471509893076
102019.55427474483,49699.991786313614
101797.85740654974,49553.65472447828
101568.91764514965,49407.470004942006
101332.97657044655,49261.447106883854
101090.2709462511,49115.59531125344
100841.03270769391,48969.92370388182
100585.48895770025,48824.44117855653
100323.8619718564,48679.15644006077
100056.36921102756,48534.07800717654
99783.22334111576,48389.21421565181
99504.63225937595,48244.57322113155
99220.79912673864,48100.16300205273
98931.92240561424,47955.99136250326
98638.19590268376,47812.0659350449
98339.8088162068,47668.394183500284
98036.94578740429,47524.98340570404
97729.78695549986,47381.84073621821
97418.5080160272,47238.97314901203
97103.28028203586,47096.38746010628
96784.27074785024,46954.09033018226
96461.6421550588,46812.088267155734
96135.55306043208,46670.38762871583
95806.15790548704,46528.99462482927
95473.6070874367,46387.91532021008
95138.04703128024,46247.155636754986
94799.62026280796,46106.72135594476
94458.46548231084,45966.61812121181
94114.7176388016,45826.85144027418
93768.5080045676,45687.426687436324
93419.96424989148,45548.34910585686
93069.21051778762,45409.62380978364
92716.36749861608,45271.25578675637
92361.552504447,45133.249899777154
92004.87954305942,44995.61088944923
91646.45939146983,44858.34337608412
91286.3996688946,44721.45186177771
90924.80490906024,44584.94073245535
90561.77663178412,44448.81425988647
90197.413413756,44313.076603668975
89831.81095845846,44177.73181318365
89465.06216517137,44042.78382951914
89097.25719701205,43908.236487367576
88728.48354796869,43774.093516891364
88358.82610889059,43640.35854556139
87988.36723240356,43507.035099967
87617.18679672414,43374.12660759811
87245.36226835042,43241.63639859976
86872.96876361151,43109.56770749942
86500.07910906157,42977.92367490746
86126.76390070771,42846.70734919114
85753.09156206444,42715.92168812228
85379.12840103003,42585.56956049918
85004.9386655832,42455.65374774297
84630.58459830075,42326.176945468804
84256.12648969899,42197.1417650322
83881.6227304042,42068.550735050805
83507.12986215863,41940.4063029021
83132.70262767073,41812.710836197104
82758.39401931956,41685.46662423067
82384.25532672468,41558.67587940851
82010.33618319411,41432.340738651365
81636.68461106384,41306.46326477662
81263.34706594361,41181.04544785769
80890.36847988416,41056.08920656144
80517.79230348209,40931.59638946407
80145.66054693912,40807.56877634567
79774.01382009288,40684.008079463754
79402.8913714369,40560.91594480617
79032.33112614801,40438.293953323606
78662.36972313936,40316.14362214204
78293.04255115768,40194.46640575537
77924.38378394357,40073.26369719861
77556.42641447375,39952.53682920185
77189.20228830409,39832.28707532533
76822.74213603257,39712.51565107592
76457.07560490095,39593.2237150052
76092.23128955433,39474.412369789556
75728.2367619771,39356.0826632924
75365.11860062424,39238.235589608994
75002.90241876645,39120.87209009393
74641.61289206751,39003.99305437169
74281.27378541206,38887.59932133049
73921.90797900181,38771.691680099626
73563.53749373801,38656.2708710107
73206.18351590754,38541.33758654284
72849.86642119016,38426.89247225221
72494.6057980036,38312.936127686175
72140.42047020349,38199.46910728212
71787.32851915446,38086.491921251436
71435.3473051885,37974.005036448674
71084.49348846657,37862.00887722627
70734.7830492589,37750.50382627497
70386.23130765927,37639.49022545025
70038.85294274823,37528.96837658488
69692.66201121983,37418.938542287935
69347.6719654862,37309.4009467304
